symbol,name,industry,enabled
TECHM,Tech Mahindra Ltd.,Information Technology,true
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,true
TEGA,Tega Industries Ltd.,Capital Goods,true
TEJASNET,Tejas Networks Ltd.,Telecommunication,true
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,true
NIACL,The New India Assurance Company Ltd.,Financial Services,true
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,true
THERMAX,Thermax Ltd.,Capital Goods,true
TIMKEN,Timken India Ltd.,Capital Goods,true
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,true
